Song,Artist,Lyrics Url,Lyrics
Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,,
Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez,,
Charade,Sammy Kaye And His Orchestra,,
Welcome Home,Sammy Kaye And His Orchestra,,
The People Tree,"Sammy Davis, Jr. with The Mike Curb Congregation",,
"Wu-Wear: The Garment Renaissance (From ""High School High"")",RZA Feat. Method Man & Cappadonna,,
"A Long Time, A Long Way To Go",Runt-Todd Rundgren,,
Be Nice To Me,Runt-Todd Rundgren,,
Léah,Roy Orbison,,
"Almost Unreal (From ""Super Mario Bros."")",Roxette,,
Red Pepper I,Roosevelt Fountain And Pens Of Rhythm,,
The More You Do It (The More I Like It Done To Me),Ronnie Dyson,,
I Wish That We Were Married,Ronnie and The Hi-Lites,,
"Lara's Theme from ""Dr. Zhivago""",Roger Williams,,
Once Upon A Time,Rochell And The Candles With Johnny Wyatt,,
It's All Down To Goodnight Vienna/Oo-Wee,Ringo Starr,,
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,,
Tu Recuerdo,Ricky Martin Featuring La Mari De Chambao Y Tommy Torres,,
Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,,
Dis-Gorilla (Part 1),Rick Dees & His Cast Of Idiots,,
When Love Has Gone Away,Richard Cocciante,,
Coo-Coo Chee,Ric-A-Che Featuring Darija,,
"I Wanna Make Love To You (From ""Innocent Blood"")",Rhythm Syndicate,,
There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),Red River Dave,,
"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,,
Ame Caline (Soul Coaxing),Raymond Lefevre and His Orchestra,,
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T,Ray Stevens,,
Midnight Lace - Part I,Ray Conniff His Orchestra And Chorus,,
"Baby, Don't You Cry (The New Swingova Rhythm)",Ray Charles and his Orchestra,,
Rockhouse (Part 2),Ray Charles and his Orchestra,,
Everybody Wants To Find A Bluebird,Randy Edelman,,
I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),,
"Tomorrow (A Better You, Better Me)",Quincy Jones With Tevin Campbell,,
You Put A Move On My Heart,Quincy Jones Introducing Tamia,,
Ai No Corrida (I-No-Ko-ree-da),Quincy Jones,,
Party Ain't A Party,"Queen Pen Featuring Teddy Riley, Nutta Butta, Markell & Jesse Wes",,
